draw,Phenotype,logic,dose
55,Rapid,C24_ceiling,1800
56,Slow,AUC_match,550
56,Slow,C24_match,200
56,Slow,C24_ceiling,250
56,Intermediate,AUC_match,1100
56,Intermediate,C24_match,1800
56,Intermediate,C24_ceiling,1800
56,Rapid,AUC_match,900
56,Rapid,C24_match,500
56,Rapid,C24_ceiling,1300
57,Slow,AUC_match,600
57,Slow,C24_match,200
57,Slow,C24_ceiling,200
57,Intermediate,AUC_match,1150
57,Intermediate,C24_match,800
57,Intermediate,C24_ceiling,1800
57,Rapid,AUC_match,1800
57,Rapid,C24_match,1800
57,Rapid,C24_ceiling,1800
58,Slow,AUC_match,700
58,Slow,C24_match,200
58,Slow,C24_ceiling,550
58,Intermediate,AUC_match,1250
58,Intermediate,C24_match,1450
58,Intermediate,C24_ceiling,1800
58,Rapid,AUC_match,1800
58,Rapid,C24_match,1800
58,Rapid,C24_ceiling,1800
59,Slow,AUC_match,650
59,Slow,C24_match,200
59,Slow,C24_ceiling,300
59,Intermediate,AUC_match,1250
59,Intermediate,C24_match,700
59,Intermediate,C24_ceiling,1800
59,Rapid,AUC_match,1450
59,Rapid,C24_match,1050
59,Rapid,C24_ceiling,1800
60,Slow,AUC_match,550
60,Slow,C24_match,200
60,Slow,C24_ceiling,200
60,Intermediate,AUC_match,1150
60,Intermediate,C24_match,1150
60,Intermediate,C24_ceiling,1800
60,Rapid,AUC_match,1700
60,Rapid,C24_match,1800
60,Rapid,C24_ceiling,1800
61,Slow,AUC_match,600
61,Slow,C24_match,200
61,Slow,C24_ceiling,300
61,Intermediate,AUC_match,1150
61,Intermediate,C24_match,850
61,Intermediate,C24_ceiling,1800
61,Rapid,AUC_match,1000
61,Rapid,C24_match,450
61,Rapid,C24_ceiling,1800
62,Slow,AUC_match,650
62,Slow,C24_match,200
62,Slow,C24_ceiling,350
62,Intermediate,AUC_match,1150
62,Intermediate,C24_match,800
62,Intermediate,C24_ceiling,1800
62,Rapid,AUC_match,1200
62,Rapid,C24_match,850
62,Rapid,C24_ceiling,1800
63,Slow,AUC_match,700
63,Slow,C24_match,200
63,Slow,C24_ceiling,450
63,Intermediate,AUC_match,1250
63,Intermediate,C24_match,1350
63,Intermediate,C24_ceiling,1800
63,Rapid,AUC_match,1100
63,Rapid,C24_match,850
63,Rapid,C24_ceiling,1800
64,Slow,AUC_match,550
64,Slow,C24_match,200
64,Slow,C24_ceiling,200
64,Intermediate,AUC_match,1100
64,Intermediate,C24_match,1800
64,Intermediate,C24_ceiling,1800
64,Rapid,AUC_match,1800
64,Rapid,C24_match,1800
64,Rapid,C24_ceiling,1800
65,Slow,AUC_match,600
65,Slow,C24_match,200
65,Slow,C24_ceiling,300
65,Intermediate,AUC_match,1100
65,Intermediate,C24_match,550
65,Intermediate,C24_ceiling,1800
65,Rapid,AUC_match,1800
65,Rapid,C24_match,1800
65,Rapid,C24_ceiling,1800
66,Slow,AUC_match,650
66,Slow,C24_match,200
66,Slow,C24_ceiling,400
66,Intermediate,AUC_match,1250
66,Intermediate,C24_match,1800
66,Intermediate,C24_ceiling,1800
66,Rapid,AUC_match,1800
66,Rapid,C24_match,1800
66,Rapid,C24_ceiling,1800
67,Slow,AUC_match,550
67,Slow,C24_match,200
67,Slow,C24_ceiling,200
67,Intermediate,AUC_match,1300
67,Intermediate,C24_match,1250
67,Intermediate,C24_ceiling,1800
67,Rapid,AUC_match,1450
67,Rapid,C24_match,1700
67,Rapid,C24_ceiling,1800
68,Slow,AUC_match,600
68,Slow,C24_match,200
68,Slow,C24_ceiling,300
68,Intermediate,AUC_match,1200
68,Intermediate,C24_match,950
68,Intermediate,C24_ceiling,1800
68,Rapid,AUC_match,1800
68,Rapid,C24_match,1800
68,Rapid,C24_ceiling,1800
69,Slow,AUC_match,550
69,Slow,C24_match,200
69,Slow,C24_ceiling,250
69,Intermediate,AUC_match,1300
69,Intermediate,C24_match,900
69,Intermediate,C24_ceiling,1800
69,Rapid,AUC_match,1550
69,Rapid,C24_match,1400
69,Rapid,C24_ceiling,1800
70,Slow,AUC_match,600
70,Slow,C24_match,200
70,Slow,C24_ceiling,350
70,Intermediate,AUC_match,1150
70,Intermediate,C24_match,1800
70,Intermediate,C24_ceiling,1800
70,Rapid,AUC_match,1350
70,Rapid,C24_match,1800
70,Rapid,C24_ceiling,1800
71,Slow,AUC_match,700
71,Slow,C24_match,200
71,Slow,C24_ceiling,450
71,Intermediate,AUC_match,1250
71,Intermediate,C24_match,650
71,Intermediate,C24_ceiling,1800
71,Rapid,AUC_match,1100
71,Rapid,C24_match,450
71,Rapid,C24_ceiling,1800
72,Slow,AUC_match,600
72,Slow,C24_match,200
72,Slow,C24_ceiling,250
72,Intermediate,AUC_match,1150
72,Intermediate,C24_match,1800
72,Intermediate,C24_ceiling,1800
72,Rapid,AUC_match,1800
72,Rapid,C24_match,1800
72,Rapid,C24_ceiling,1800
73,Slow,AUC_match,1800
73,Slow,C24_match,250
73,Slow,C24_ceiling,1800
73,Intermediate,AUC_match,1800
73,Intermediate,C24_match,450
73,Intermediate,C24_ceiling,1800
73,Rapid,AUC_match,1800
73,Rapid,C24_match,500
73,Rapid,C24_ceiling,1800
74,Slow,AUC_match,600
74,Slow,C24_match,200
74,Slow,C24_ceiling,250
74,Intermediate,AUC_match,1150
74,Intermediate,C24_match,1150
74,Intermediate,C24_ceiling,1800
74,Rapid,AUC_match,1800
74,Rapid,C24_match,1800
74,Rapid,C24_ceiling,1800
75,Slow,AUC_match,500
75,Slow,C24_match,200
75,Slow,C24_ceiling,200
75,Intermediate,AUC_match,1150
75,Intermediate,C24_match,1800
75,Intermediate,C24_ceiling,1800
75,Rapid,AUC_match,900
75,Rapid,C24_match,650
75,Rapid,C24_ceiling,1650
76,Slow,AUC_match,1800
76,Slow,C24_match,250
76,Slow,C24_ceiling,1800
76,Intermediate,AUC_match,1800
76,Intermediate,C24_match,450
76,Intermediate,C24_ceiling,1800
76,Rapid,AUC_match,1800
76,Rapid,C24_match,800
76,Rapid,C24_ceiling,1800
77,Slow,AUC_match,750
77,Slow,C24_match,200
77,Slow,C24_ceiling,350
77,Intermediate,AUC_match,1250
77,Intermediate,C24_match,450
77,Intermediate,C24_ceiling,1800
77,Rapid,AUC_match,1800
77,Rapid,C24_match,1800
77,Rapid,C24_ceiling,1800
78,Slow,AUC_match,650
78,Slow,C24_match,200
78,Slow,C24_ceiling,400
78,Intermediate,AUC_match,1200
78,Intermediate,C24_match,1000
78,Intermediate,C24_ceiling,1800
78,Rapid,AUC_match,1550
78,Rapid,C24_match,1800
78,Rapid,C24_ceiling,1800
79,Slow,AUC_match,650
79,Slow,C24_match,200
79,Slow,C24_ceiling,350
79,Intermediate,AUC_match,1050
79,Intermediate,C24_match,450
79,Intermediate,C24_ceiling,1800
79,Rapid,AUC_match,1600
79,Rapid,C24_match,1300
79,Rapid,C24_ceiling,1800
80,Slow,AUC_match,850
80,Slow,C24_match,200
80,Slow,C24_ceiling,950
80,Intermediate,AUC_match,1350
80,Intermediate,C24_match,800
80,Intermediate,C24_ceiling,1800
80,Rapid,AUC_match,1150
80,Rapid,C24_match,500
80,Rapid,C24_ceiling,1800
81,Slow,AUC_match,600
81,Slow,C24_match,200
81,Slow,C24_ceiling,350
81,Intermediate,AUC_match,1100
81,Intermediate,C24_match,750
81,Intermediate,C24_ceiling,1800
81,Rapid,AUC_match,1550
81,Rapid,C24_match,1800
81,Rapid,C24_ceiling,1800
82,Slow,AUC_match,650
82,Slow,C24_match,200
82,Slow,C24_ceiling,350
82,Intermediate,AUC_match,1300
82,Intermediate,C24_match,1300
82,Intermediate,C24_ceiling,1800
82,Rapid,AUC_match,1100
82,Rapid,C24_match,650
82,Rapid,C24_ceiling,1800
83,Slow,AUC_match,700
83,Slow,C24_match,200
83,Slow,C24_ceiling,400
83,Intermediate,AUC_match,1300
83,Intermediate,C24_match,1100
83,Intermediate,C24_ceiling,1800
83,Rapid,AUC_match,1250
83,Rapid,C24_match,900
83,Rapid,C24_ceiling,1800
84,Slow,AUC_match,750
84,Slow,C24_match,200
84,Slow,C24_ceiling,750
84,Intermediate,AUC_match,1350
84,Intermediate,C24_match,1500
84,Intermediate,C24_ceiling,1800
84,Rapid,AUC_match,1800
84,Rapid,C24_match,1800
84,Rapid,C24_ceiling,1800
85,Slow,AUC_match,650
85,Slow,C24_match,200
85,Slow,C24_ceiling,400
85,Intermediate,AUC_match,1350
85,Intermediate,C24_match,1550
85,Intermediate,C24_ceiling,1800
85,Rapid,AUC_match,1500
